DYS710,DYS518,DYS385a,DYS385b,DYS644,DYS612,DYS626,DYS504,DYS481,DYS447,DYS449,n
31,35,14,15,16,29,24,13,30,25,31,1
33,36,11,11,23,30,30,12,24,26,31,1
32,36,11,11,21,32,30,12,25,26,31,1
33,38,17,18,21,30,28,13,25,26,31,1
33,37,17,18,21,29,29,13,25,26,31,1
31,35,17,18,21,32,31,13,25,26,31,1
34,37,18,19,21,29,27,13,26,26,31,1
32,38,17,17,21,28,28,13,26,26,31,1
34,38,17,17,21,29,28,13,26,26,31,1
33,38,16,19,21,29,28,13,26,26,31,1
33,41,16,17,21,29,29,13,26,26,31,1
32,39,18,18,21,30,29,13,26,26,31,1
33,39,17,18,21,31,28,14,26,26,31,1
35,37,17,19,21,28,27,13,24,27,31,1
34,37,16,17,21,31,28,13,24,27,31,1
33,36,16,19,21,27,29,13,24,27,31,1
32,36,15,18,21,26,29,14,25,27,31,1
34,37,16,16,24,30,22,16,25,27,31,1
34,38,16,17,24,30,22,16,25,27,31,1
34,35,16,16,24,31,22,16,25,27,31,1
33,36,14,16,21,28,27,13,27,27,31,1
32,38,17,18,20,31,28,13,25,23,32,1
34,37,13,16,26,30,26,15,28,23,32,1
33,35,16,16,21,29,26,13,25,25,32,1
30,35,15,18,22,29,27,13,28,25,32,1
30,35,14,18,22,29,27,12,29,25,32,1
35,35,16,18,21,30,29,13,24,26,32,1
33,38,16,18,21,30,26,13,25,26,32,1
32,37,17,18,21,31,29,13,25,26,32,1
33,34,16,17,21,32,30,13,25,26,32,1
33,35,15,16,24,31,21,16,25,26,32,1
30,36,17,18,21,27,27,13,26,26,32,1
32,37,17,17,21,29,30,14,26,26,32,1
34,35,16,18,21,32,27,13,23,27,32,1
34,35,17,18,21,32,27,13,23,27,32,1
31,35,16,17,21,28,29,13,23,27,32,1
33,36,17,18,21,29,25,11,24,27,32,1
34,36,15,17,20,28,28,13,24,27,32,1
32,40,16,17,21,28,28,13,24,27,32,1
34,35,15,16,24,32,22,16,25,27,32,1
34,36,17,20,21,28,29,12,27,27,32,1
36,37,16,18,21,29,29,12,27,27,32,1
34,36,17,20,21,30,29,12,27,27,32,1
33,37,11,11,23,31,31,12,25,26,33,1
33,40,17,18,21,28,25,13,25,26,33,1
31,34,17,18,15,30,27,13,25,26,33,1
32,37,11,11,23,31,29,12,26,26,33,1
33,38,18,18,21,27,28,13,26,26,33,1
34,35,17,18,21,32,27,13,23,27,33,1
31,33,17,18,21,31,28,13,23,27,33,1
33,38,17,17,21,29,28,13,25,27,33,1
32,37,16,17,24,31,23,15,25,27,33,1
33,38,15,17,24,31,22,16,25,27,33,1
34,39,17,18,20,28,27,13,27,27,33,1
35,39,14,17,25,22,25,14,26,23,34,1
32,37,11,11,23,30,28,12,17,26,34,1
32,37,11,11,23,30,29,12,26,26,34,1
32,37,11,11,23,31,29,12,26,26,34,1
33,38,17,18,21,27,27,13,26,26,34,1
31,36,18,18,15,30,27,13,26,26,34,1
32,36,11,12,23,32,30,12,24,25,35,1
32,35,11,11,23,32,28,12,25,25,35,1
32,37,11,11,23,30,26,12,26,25,35,1
32,37,11,11,23,30,29,12,24,26,35,1
31,36,11,12,23,30,29,12,24,26,35,1
32,37,11,11,23,31,30,12,24,26,35,1
32,37,11,11,23,32,30,12,24,26,35,1
32,36,11,12,23,32,30,12,24,26,35,1
32,37,11,11,23,29,29,12,25,26,35,1
33,37,11,11,23,30,29,12,25,26,35,1
34,36,11,11,22,32,29,12,25,26,35,1
32,35,11,11,23,32,29,12,25,26,35,1
32,36,11,11,23,32,29,12,25,26,35,1
32,37,11,11,23,32,29,12,25,26,35,1
33,37,11,11,23,32,29,12,25,26,35,1
32,36,11,11,24,32,29,12,25,26,35,1
31,39,11,11,23,31,30,12,25,26,35,1
32,37,11,11,23,32,30,12,25,26,35,1
32,38,11,11,23,32,30,12,25,26,35,1
32,36,11,11,24,32,30,12,25,26,35,1
33,37,11,11,23,33,30,12,25,26,35,1
32,35,11,11,23,30,29,10,26,26,35,1
32,37,11,11,23,31,25,12,26,26,35,1
32,36,11,11,24,28,29,12,26,26,35,1
32,37,11,11,23,31,29,12,26,26,35,1
32,38,11,11,23,31,29,12,26,26,35,1
32,32,11,11,23,33,29,12,26,26,35,1
32,36,11,11,23,30,30,12,26,26,35,1
31,37,11,11,23,30,30,12,26,26,35,1
32,37,11,11,23,30,29,12,27,26,35,1
32,37,11,11,23,30,28,12,26,27,35,1
38,34,17,20,21,31,27,14,24,28,35,1
32,36,11,12,23,31,30,12,19,26,36,1
32,36,11,12,23,31,30,12,24,26,36,1
32,37,11,11,23,32,30,12,24,26,36,1
32,38,11,11,23,32,30,12,24,26,36,1
32,36,11,11,23,31,30,12,25,26,36,1
31,37,11,11,23,32,30,12,25,26,36,1
32,37,11,11,24,32,30,12,25,26,36,1
32,36,11,11,23,33,30,12,25,26,36,1
33,37,11,11,23,33,30,12,25,26,36,1
31,36,11,11,23,32,31,12,25,26,36,1
31,37,11,11,23,31,29,12,26,26,36,1
32,37,11,11,22,31,30,12,26,26,36,1
32,38,11,11,23,30,30,13,26,26,36,1
33,36,11,11,23,30,30,12,23,27,36,1
32,37,11,11,23,32,31,12,25,25,37,1
32,37,11,11,23,33,31,12,25,25,37,1
32,36,11,11,23,30,29,12,17,26,37,1
32,39,11,11,23,32,30,12,25,26,37,1
34,36,17,17,22,30,27,13,27,25,28,2
35,33,16,18,22,28,27,13,28,25,28,2
35,34,16,18,22,28,27,13,28,25,28,2
33,36,16,17,21,28,27,12,23,25,31,2
32,36,11,12,23,31,30,12,24,26,33,2
33,37,11,11,23,32,30,12,25,26,35,2
32,36,11,11,23,30,29,12,26,26,35,2
32,37,11,11,23,30,29,12,26,26,35,2
32,37,11,11,23,32,29,12,26,26,35,2
32,35,11,11,23,32,31,12,27,26,35,2
32,37,11,11,23,30,29,12,26,26,36,3
